Date Local,State,County,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2013-01-01,California,Alameda,28.0,27.0,0.0,8.0
2013-01-01,California,Contra Costa,22.0,28.0,0.3333333333333333,6.333333333333333
2013-01-01,California,Fresno,24.0,23.0,0.0,14.0
2013-01-01,California,Humboldt,6.0,22.0,0.0,6.0
2013-01-01,California,Imperial,38.0,31.0,3.0,54.0
2013-01-01,California,Los Angeles,35.666666666666664,25.5,0.6666666666666666,19.166666666666668
2013-01-01,California,Orange,34.0,20.0,0.0,10.0
2013-01-01,California,Sacramento,29.0,25.0,0.0,13.0
2013-01-01,California,San Bernardino,27.0,39.0,1.5,5.5
2013-01-01,California,San Diego,28.0,33.0,0.0,11.0
2013-01-01,California,Santa Barbara,5.666666666666667,35.0,2.6666666666666665,2.6666666666666665
2013-01-01,California,Santa Clara,24.5,22.5,0.5,6.5
2013-01-01,California,Solano,32.0,29.0,1.0,9.0
2013-01-02,California,Alameda,37.0,8.0,6.0,16.0
2013-01-02,California,Contra Costa,24.33333333333333,25.666666666666668,0.3333333333333333,6.333333333333333
2013-01-02,California,Fresno,30.0,6.0,1.0,14.0
2013-01-02,California,Humboldt,13.5,25.0,0.0,6.5
2013-01-02,California,Imperial,35.0,35.0,1.0,11.0
2013-01-02,California,Los Angeles,46.0,21.666666666666668,5.0,16.166666666666668
2013-01-02,California,Orange,36.0,32.0,0.0,9.0
2013-01-02,California,Sacramento,33.0,21.0,0.0,14.0
2013-01-02,California,San Bernardino,34.5,41.0,1.5,2.5
2013-01-02,California,San Diego,36.0,25.0,0.0,9.0
2013-01-02,California,Santa Barbara,8.333333333333334,35.333333333333336,2.6666666666666665,2.6666666666666665
2013-01-02,California,Santa Clara,34.5,12.5,3.5,11.0
2013-01-02,California,Solano,37.0,25.0,1.0,11.0
2013-01-03,California,Alameda,42.0,8.0,3.0,23.0
2013-01-03,California,Contra Costa,29.0,17.0,2.0,7.0
2013-01-03,California,Fresno,33.0,12.0,1.0,17.0
2013-01-03,California,Humboldt,9.5,31.0,0.0,6.0
2013-01-03,California,Imperial,28.0,35.0,0.0,11.0
2013-01-03,California,Los Angeles,47.2,20.0,2.0,19.2
2013-01-03,California,Orange,46.0,15.0,1.0,13.0
2013-01-03,California,Riverside,37.0,39.0,0.0,5.5
2013-01-03,California,Sacramento,30.0,20.0,0.0,17.0
2013-01-03,California,San Bernardino,38.5,42.0,2.0,4.0
2013-01-03,California,San Diego,42.0,23.0,0.0,10.0
2013-01-03,California,Santa Barbara,9.666666666666666,35.666666666666664,2.333333333333333,3.0
2013-01-03,California,Santa Clara,32.5,8.0,2.0,11.0
2013-01-03,California,Solano,34.0,20.0,1.0,15.0
2013-01-04,California,Alameda,35.0,12.0,3.0,16.0
2013-01-04,California,Contra Costa,25.666666666666668,20.33333333333333,2.6666666666666665,7.666666666666667
2013-01-04,California,Fresno,40.0,14.0,1.0,17.0
2013-01-04,California,Humboldt,8.5,21.5,0.0,6.0
2013-01-04,California,Imperial,39.0,35.0,1.0,15.0
2013-01-04,California,Los Angeles,42.2,21.4,1.8,17.2
2013-01-04,California,Orange,42.0,29.0,3.0,16.0
2013-01-04,California,Riverside,41.0,26.0,1.0,8.5
2013-01-04,California,Sacramento,25.0,19.0,0.0,15.0
2013-01-04,California,San Bernardino,43.0,29.5,2.5,5.5
2013-01-04,California,San Diego,42.0,26.0,0.0,11.0
2013-01-04,California,Santa Barbara,7.0,38.66666666666666,3.333333333333333,3.0
2013-01-04,California,Santa Clara,34.5,10.0,2.5,12.0
2013-01-04,California,Solano,29.0,22.0,4.0,14.0
2013-01-05,California,Alameda,28.0,19.0,3.0,18.0
2013-01-05,California,Contra Costa,24.666666666666668,19.666666666666668,1.6666666666666667,8.333333333333334
2013-01-05,California,Fresno,38.0,25.0,0.0,20.0
2013-01-05,California,Humboldt,9.5,18.0,0.0,7.0
2013-01-05,California,Imperial,40.0,36.0,1.0,16.0
2013-01-05,California,Los Angeles,43.2,19.4,2.0,20.4
2013-01-05,California,Orange,37.0,17.0,1.0,19.0
2013-01-05,California,Riverside,40.0,26.0,1.0,12.5
2013-01-05,California,Sacramento,25.0,11.0,1.0,18.0
2013-01-05,California,San Bernardino,43.5,30.5,2.5,6.5
2013-01-05,California,San Diego,37.0,26.0,0.0,13.0
2013-01-05,California,Santa Barbara,6.666666666666667,37.333333333333336,3.333333333333333,3.333333333333333
2013-01-05,California,Santa Clara,22.0,24.0,0.5,11.0
2013-01-05,California,Solano,25.0,21.0,1.0,7.0
2013-01-06,California,Alameda,28.0,22.0,1.0,17.0
2013-01-06,California,Contra Costa,21.0,22.666666666666668,0.0,7.0
2013-01-06,California,Fresno,18.0,25.0,0.0,8.0
2013-01-06,California,Humboldt,7.0,26.5,0.0,7.5
2013-01-06,California,Imperial,45.0,39.0,3.0,17.0
2013-01-06,California,Los Angeles,35.8,34.0,2.6,16.0
2013-01-06,California,Orange,32.0,37.0,0.0,13.0
2013-01-06,California,Riverside,28.0,32.0,1.0,16.5
2013-01-06,California,Sacramento,24.0,23.0,0.0,13.0
2013-01-06,California,San Bernardino,31.5,36.0,1.0,6.0
2013-01-06,California,San Diego,26.0,34.0,0.0,10.0
2013-01-06,California,Santa Barbara,3.0,38.66666666666666,3.0,2.333333333333333
