Year,Zip_Code,Number of Visits,Age-adjusted rate,Age_Group,County
2013,90001,240.0,79.9,0,LOS ANGELES
2013,90002,215.0,67.8,0,LOS ANGELES
2013,90003,287.0,73.4,0,LOS ANGELES
2013,90004,101.0,21.7,0,LOS ANGELES
2013,90005,76.0,24.3,0,LOS ANGELES
2013,90006,133.0,30.1,0,LOS ANGELES
2013,90007,97.0,44.2,0,LOS ANGELES
2013,90008,189.0,75.6,0,LOS ANGELES
2013,90011,336.0,58.5,0,LOS ANGELES
2013,90012,44.0,15.0,0,LOS ANGELES
2013,90013,106.0,79.8,0,LOS ANGELES
2013,90014,73.0,93.7,0,LOS ANGELES
2013,90015,80.0,55.3,0,LOS ANGELES
2013,90016,202.0,56.9,0,LOS ANGELES
2013,90017,86.0,51.5,0,LOS ANGELES
2013,90018,178.0,47.2,0,LOS ANGELES
2013,90019,260.0,52.4,0,LOS ANGELES
2013,90020,55.0,18.1,0,LOS ANGELES
2013,90021,51.0,164.5,0,LOS ANGELES
2013,90022,250.0,56.1,0,LOS ANGELES
2013,90023,146.0,47.7,0,LOS ANGELES
2013,90024,41.0,13.5,0,LOS ANGELES
2013,90025,44.0,12.8,0,LOS ANGELES
2013,90026,142.0,26.4,0,LOS ANGELES
2013,90027,127.0,30.8,0,LOS ANGELES
2013,90028,154.0,60.1,0,LOS ANGELES
2013,90029,138.0,43.3,0,LOS ANGELES
2013,90031,78.0,25.2,0,LOS ANGELES
2013,90032,135.0,40.2,0,LOS ANGELES
2013,90033,257.0,77.7,0,LOS ANGELES
2013,90034,97.0,22.5,0,LOS ANGELES
2013,90035,44.0,17.0,0,LOS ANGELES
2013,90036,70.0,26.3,0,LOS ANGELES
2013,90037,297.0,71.4,0,LOS ANGELES
2013,90038,40.0,16.9,0,LOS ANGELES
2013,90039,88.0,38.6,0,LOS ANGELES
2013,90040,51.0,73.1,0,LOS ANGELES
2013,90041,73.0,29.7,0,LOS ANGELES
2013,90042,144.0,31.4,0,LOS ANGELES
2013,90043,300.0,87.5,0,LOS ANGELES
2013,90044,521.0,84.4,0,LOS ANGELES
2013,90045,68.0,22.4,0,LOS ANGELES
2013,90046,81.0,18.8,0,LOS ANGELES
2013,90047,369.0,102.3,0,LOS ANGELES
2013,90048,35.0,17.1,0,LOS ANGELES
2013,90049,22.0,7.1,0,LOS ANGELES
2013,90056,17.0,22.6,0,LOS ANGELES
2013,90057,113.0,35.6,0,LOS ANGELES
2013,90058,17.0,95.6,0,LOS ANGELES
2013,90059,204.0,74.2,0,LOS ANGELES
2013,90061,171.0,89.7,0,LOS ANGELES
2013,90062,182.0,78.9,0,LOS ANGELES
2013,90063,152.0,40.5,0,LOS ANGELES
2013,90064,38.0,17.9,0,LOS ANGELES
2013,90065,163.0,47.7,0,LOS ANGELES
2013,90066,99.0,23.5,0,LOS ANGELES
2013,90068,27.0,11.8,0,LOS ANGELES
2013,90069,39.0,19.4,0,LOS ANGELES
2013,90201,225.0,33.7,0,LOS ANGELES
2013,90210,26.0,12.6,0,LOS ANGELES
2013,90212,15.0,15.5,0,LOS ANGELES
2013,90220,258.0,73.9,0,LOS ANGELES
2013,90221,227.0,67.6,0,LOS ANGELES
2013,90222,165.0,76.7,0,LOS ANGELES
2013,90230,50.0,20.6,0,LOS ANGELES
2013,90232,25.0,18.0,0,LOS ANGELES
2013,90240,60.0,32.9,0,LOS ANGELES
2013,90241,132.0,41.0,0,LOS ANGELES
2013,90242,120.0,38.4,0,LOS ANGELES
2013,90245,21.0,18.5,0,LOS ANGELES
2013,90247,190.0,52.4,0,LOS ANGELES
2013,90248,34.0,39.6,0,LOS ANGELES
2013,90249,131.0,64.8,0,LOS ANGELES
2013,90250,313.0,43.5,0,LOS ANGELES
2013,90254,17.0,10.4,0,LOS ANGELES
2013,90255,228.0,50.2,0,LOS ANGELES
2013,90260,89.0,34.9,0,LOS ANGELES
2013,90262,221.0,49.0,0,LOS ANGELES
2013,90266,28.0,10.5,0,LOS ANGELES
2013,90270,63.0,38.0,0,LOS ANGELES
2013,90272,28.0,15.3,0,LOS ANGELES
2013,90274,18.0,7.5,0,LOS ANGELES
2013,90275,37.0,10.4,0,LOS ANGELES
2013,90277,50.0,17.8,0,LOS ANGELES
2013,90278,61.0,20.1,0,LOS ANGELES
2013,90280,170.0,28.0,0,LOS ANGELES
2013,90291,37.0,15.4,0,LOS ANGELES
2013,90292,40.0,21.9,0,LOS ANGELES
2013,90301,181.0,65.1,0,LOS ANGELES
