Year,Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,county
2013,90001,240,79.9,18+,Los Angeles
2013,90002,215,67.8,18+,Los Angeles
2013,90003,287,73.4,18+,Los Angeles
2013,90004,101,21.7,18+,Los Angeles
2013,90005,76,24.3,18+,Los Angeles
2013,90006,133,30.1,18+,Los Angeles
2013,90007,97,44.2,18+,Los Angeles
2013,90008,189,75.6,18+,Los Angeles
2013,90011,336,58.5,18+,Los Angeles
2013,90012,44,15.0,18+,Los Angeles
2013,90013,106,79.8,18+,Los Angeles
2013,90014,73,93.7,18+,Los Angeles
2013,90015,80,55.3,18+,Los Angeles
2013,90016,202,56.9,18+,Los Angeles
2013,90017,86,51.5,18+,Los Angeles
2013,90018,178,47.2,18+,Los Angeles
2013,90019,260,52.4,18+,Los Angeles
2013,90020,55,18.1,18+,Los Angeles
2013,90021,51,164.5,18+,Los Angeles
2013,90022,250,56.1,18+,Los Angeles
2013,90023,146,47.7,18+,Los Angeles
2013,90024,41,13.5,18+,Los Angeles
2013,90025,44,12.8,18+,Los Angeles
2013,90026,142,26.4,18+,Los Angeles
2013,90027,127,30.8,18+,Los Angeles
2013,90028,154,60.1,18+,Los Angeles
2013,90029,138,43.3,18+,Los Angeles
2013,90031,78,25.2,18+,Los Angeles
2013,90032,135,40.2,18+,Los Angeles
2013,90033,257,77.7,18+,Los Angeles
2013,90034,97,22.5,18+,Los Angeles
2013,90035,44,17.0,18+,Los Angeles
2013,90036,70,26.3,18+,Los Angeles
2013,90037,297,71.4,18+,Los Angeles
2013,90038,40,16.9,18+,Los Angeles
2013,90039,88,38.6,18+,Los Angeles
2013,90040,51,73.1,18+,Los Angeles
2013,90041,73,29.7,18+,Los Angeles
2013,90042,144,31.4,18+,Los Angeles
2013,90043,300,87.5,18+,Los Angeles
2013,90044,521,84.4,18+,Los Angeles
2013,90045,68,22.4,18+,Los Angeles
2013,90046,81,18.8,18+,Los Angeles
2013,90047,369,102.3,18+,Los Angeles
2013,90048,35,17.1,18+,Los Angeles
2013,90049,22,7.1,18+,Los Angeles
2013,90056,17,22.6,18+,Los Angeles
2013,90057,113,35.6,18+,Los Angeles
2013,90058,17,95.6,18+,Los Angeles
2013,90059,204,74.2,18+,Los Angeles
2013,90061,171,89.7,18+,Los Angeles
2013,90062,182,78.9,18+,Los Angeles
2013,90063,152,40.5,18+,Los Angeles
2013,90064,38,17.9,18+,Los Angeles
2013,90065,163,47.7,18+,Los Angeles
2013,90066,99,23.5,18+,Los Angeles
2013,90068,27,11.8,18+,Los Angeles
2013,90069,39,19.4,18+,Los Angeles
2013,90201,225,33.7,18+,Los Angeles
2013,90210,26,12.6,18+,Los Angeles
2013,90212,15,15.5,18+,Los Angeles
2013,90220,258,73.9,18+,Los Angeles
2013,90221,227,67.6,18+,Los Angeles
2013,90222,165,76.7,18+,Los Angeles
2013,90230,50,20.6,18+,Los Angeles
2013,90232,25,18.0,18+,Los Angeles
2013,90240,60,32.9,18+,Los Angeles
2013,90241,132,41.0,18+,Los Angeles
2013,90242,120,38.4,18+,Los Angeles
2013,90245,21,18.5,18+,Los Angeles
2013,90247,190,52.4,18+,Los Angeles
2013,90248,34,39.6,18+,Los Angeles
2013,90249,131,64.8,18+,Los Angeles
2013,90250,313,43.5,18+,Los Angeles
2013,90254,17,10.4,18+,Los Angeles
2013,90255,228,50.2,18+,Los Angeles
2013,90260,89,34.9,18+,Los Angeles
2013,90262,221,49.0,18+,Los Angeles
2013,90266,28,10.5,18+,Los Angeles
2013,90270,63,38.0,18+,Los Angeles
2013,90272,28,15.3,18+,Los Angeles
2013,90274,18,7.5,18+,Los Angeles
2013,90275,37,10.4,18+,Los Angeles
2013,90277,50,17.8,18+,Los Angeles
2013,90278,61,20.1,18+,Los Angeles
2013,90280,170,28.0,18+,Los Angeles
